text,score
計算言語学または計算論的言語学とは、形式性を重視する言語学の一分野である。,1.4297110667595496
自然言語処理と共に「理科系言語学」と称される。,2.2213423922657967
類似名称の言語学分野に計量言語学があるが、計量言語学は統計的な手法により自然言語を研究する分野であり計算言語学の関連分野ないし下位分野である。,0.8675972142002799
本稿冒頭で述べたように計算言語学は形式性を重視する言語学の一分野であるが、計算言語学と隣接分野、特に自然言語処理、の境界線は曖昧である。,1.144624263048172
計算言語学と自然言語処理の差異については、専門家から次のような指摘がなされている。,1.5452327579259872
言語に関する情報科学的な研究の目的は、人間の言語処理過程の科学的な究明や、ワープロや機械翻訳などの工学的な応用を含み、きわめて多岐にわたる。,0.6880595738237555
「自然言語処理」はどちらかというと工学的な応用を指向した言い方であり、「計算言語学」にはもう少し基礎的・理論的なニュアンスがある。,0.7400618317452344
計算言語学は他に自然言語処理、理論言語学、数理論理学からなる数理言語学の一分野とされる場合もあるが、ここでも理学系の「計算言語学」、工学系の「自然言語処理」と位置付けられている。,0.670046475578527
一方で、計算言語学と自然言語処理が同義で用いられることもしばしばある。,1.5585619807243347
実際、この分野で最も権威ある国際会議計算言語学会は計算言語学の国際会議を自称するものの、現在では自然言語処理を指向した研究が多くを占めている。,0.78617443212054
